time:37.134, x:238.472, y:0.000, z:0.547, h:-0.000
time:37.234, x:238.319, y:0.000, z:0.547, h:-0.000
time:37.334, x:238.146, y:0.000, z:0.547, h:-0.000
time:37.434, x:237.953, y:0.000, z:0.547, h:-0.000
time:37.534, x:237.742, y:0.000, z:0.547, h:-0.000
time:37.634, x:237.512, y:0.000, z:0.547, h:-0.000
time:37.734, x:237.266, y:0.000, z:0.547, h:-0.000
time:37.834, x:237.004, y:0.000, z:0.547, h:-0.000
time:37.934, x:236.725, y:0.000, z:0.547, h:-0.000
time:38.034, x:236.429, y:0.000, z:0.547, h:-0.000
time:38.134, x:236.116, y:0.000, z:0.547, h:-0.000
time:38.234, x:235.787, y:0.000, z:0.547, h:-0.000
time:38.334, x:235.443, y:0.000, z:0.547, h:-0.000
time:38.434, x:235.085, y:0.000, z:0.547, h:-0.000
time:38.534, x:234.713, y:0.000, z:0.547, h:-0.000
time:38.634, x:234.329, y:0.000, z:0.547, h:-0.000
time:38.734, x:233.934, y:0.000, z:0.547, h:-0.000
time:38.834, x:233.528, y:0.000, z:0.547, h:-0.000
time:38.934, x:233.111, y:0.000, z:0.547, h:-0.000
time:39.034, x:232.686, y:0.000, z:0.547, h:0.000
time:39.134, x:232.251, y:0.000, z:0.547, h:0.000
time:39.234, x:231.809, y:0.000, z:0.547, h:0.000
time:39.334, x:231.359, y:0.000, z:0.547, h:0.000
time:39.434, x:230.903, y:0.000, z:0.547, h:0.000
time:39.534, x:230.442, y:0.000, z:0.547, h:0.000
time:39.634, x:229.974, y:0.000, z:0.547, h:0.000
time:39.734, x:229.500, y:0.000, z:0.547, h:0.000
time:39.834, x:229.021, y:0.000, z:0.547, h:0.000
time:39.934, x:228.536, y:0.000, z:0.547, h:0.000
time:40.034, x:228.046, y:0.000, z:0.547, h:0.000
time:40.134, x:227.551, y:0.000, z:0.547, h:0.000
time:40.234, x:227.052, y:0.000, z:0.547, h:0.000
time:40.334, x:226.549, y:0.000, z:0.547, h:0.000
time:40.434, x:226.042, y:0.000, z:0.547, h:0.000
time:40.534, x:225.532, y:0.000, z:0.547, h:0.000
time:40.634, x:225.018, y:0.000, z:0.547, h:0.000
time:40.734, x:224.502, y:0.000, z:0.547, h:0.000
time:40.834, x:223.982, y:0.000, z:0.547, h:0.000
time:40.934, x:223.460, y:-0.000, z:0.547, h:0.000
time:41.034, x:222.936, y:-0.000, z:0.547, h:0.000
time:41.134, x:222.409, y:-0.000, z:0.547, h:0.000
time:41.234, x:221.881, y:-0.000, z:0.547, h:0.000
time:41.334, x:221.350, y:-0.000, z:0.547, h:0.000
time:41.434, x:220.818, y:-0.000, z:0.547, h:0.000
time:41.534, x:220.284, y:-0.000, z:0.547, h:0.000
time:41.634, x:219.748, y:-0.000, z:0.547, h:0.000
time:41.734, x:219.211, y:-0.000, z:0.547, h:0.000
time:41.834, x:218.673, y:-0.000, z:0.547, h:0.000
time:41.934, x:218.133, y:-0.000, z:0.547, h:0.000
time:42.034, x:217.593, y:-0.000, z:0.547, h:0.000
time:42.134, x:217.051, y:-0.000, z:0.547, h:0.000
time:42.234, x:216.508, y:-0.000, z:0.547, h:0.000
time:42.334, x:215.964, y:-0.000, z:0.547, h:0.000
time:42.434, x:215.420, y:-0.000, z:0.547, h:0.000
time:42.534, x:214.874, y:-0.000, z:0.547, h:0.000
time:42.634, x:214.328, y:-0.000, z:0.547, h:0.000
time:42.734, x:213.781, y:-0.000, z:0.547, h:0.000
time:42.834, x:213.234, y:-0.000, z:0.547, h:0.000
time:42.934, x:212.686, y:-0.000, z:0.547, h:0.000
time:43.034, x:212.137, y:-0.000, z:0.547, h:0.000
time:43.134, x:211.588, y:-0.000, z:0.547, h:-0.000
time:43.234, x:211.039, y:-0.000, z:0.547, h:-0.000
time:43.334, x:210.489, y:-0.000, z:0.547, h:-0.000
time:43.434, x:209.938, y:-0.000, z:0.547, h:-0.000
time:43.534, x:209.388, y:-0.000, z:0.547, h:-0.000
time:43.634, x:208.836, y:-0.000, z:0.547, h:-0.000
time:43.734, x:208.285, y:-0.000, z:0.547, h:-0.000
time:43.834, x:207.733, y:-0.000, z:0.547, h:-0.000
time:43.934, x:207.181, y:-0.000, z:0.547, h:-0.000
time:44.034, x:206.629, y:-0.000, z:0.547, h:-0.000
time:44.134, x:206.076, y:-0.000, z:0.547, h:-0.000
time:44.234, x:205.524, y:-0.000, z:0.547, h:-0.000
time:44.334, x:204.971, y:-0.000, z:0.547, h:-0.000
time:44.434, x:204.417, y:-0.000, z:0.547, h:-0.000
time:44.534, x:203.864, y:-0.000, z:0.547, h:-0.000
time:44.634, x:203.311, y:-0.000, z:0.547, h:-0.000
